"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,9,1,10,0.00036,1.33333333333333e-05,1e-04,0,0,8,0,8,0.00032,0,8e-05,3778,11422,15200,0.15112,0.152293333333333,0.152,1,0,1,0,21214,63577,8,0,8,0.00032,0,8e-05,3777,11422,3777,11422,15199,0.15108,0.152293333333333,0.15199,0,0,0,0,0,0,400,1192,1592,0.016,0.0158933333333333,0.01592,400,1192,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",0,TRUE,"equal",0.000707492461145875,-0.0237954434978912,0.0165289582478774,0.0206745568014393,0.00545665944992391,-0.0680329597431378,0.0109556411199849,0.0263517872959983,0.06629,0.18332,0.31002,60,76,0.55,0.2,0.1,16,81227118,6.00512
"2",2,10,5,15,4e-04,6.66666666666667e-05,0.00015,1,4,8,0,8,0.00032,0,8e-05,3776,11424,15200,0.15104,0.15232,0.152,1,0,1,0,21213,63567,8,0,8,0.00032,0,8e-05,3777,11428,3777,11428,15205,0.15108,0.152373333333333,0.15205,0,0,0,0,0,0,760,2181,2941,0.0304,0.02908,0.02941,760,2181,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"equal",0.000707492461145875,-0.0237954434978912,0.0165289582478774,0.0206745568014393,0.00545665944992391,-0.0680329597431378,0.0109556411199849,0.0263517872959983,0.06629,0.18332,0.31002,60,76,0.55,0.2,0.1,16,81227118,6.00512
"3",3,12,10,22,0.00048,0.000133333333333333,0.00022,3,9,8,0,8,0.00032,0,8e-05,3781,11419,15200,0.15124,0.152253333333333,0.152,2,1,1,0,21203,63547,8,0,8,0.00032,0,8e-05,3785,11443,3786,11444,15230,0.15144,0.152586666666667,0.1523,0,0,0,0,0,0,1030,3048,4078,0.0412,0.04064,0.04078,1030,3048,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",2,TRUE,"equal",0.000707492461145875,-0.0237954434978912,0.0165289582478774,0.0206745568014393,0.00545665944992391,-0.0680329597431378,0.0109556411199849,0.0263517872959983,0.06629,0.18332,0.31002,60,76,0.55,0.2,0.1,16,81227118,6.00512
"4",4,16,12,28,0.00064,0.00016,0.00028,7,11,8,0,8,0.00032,0,8e-05,3786,11414,15200,0.15144,0.152186666666667,0.152,4,1,1,0,21174,63477,8,0,8,0.00032,0,8e-05,3810,11511,3813,11512,15325,0.15252,0.153493333333333,0.15325,0,0,0,0,0,0,1270,3697,4967,0.0508,0.0492933333333333,0.04967,1270,3697,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",3,TRUE,"equal",0.000707492461145875,-0.0237954434978912,0.0165289582478774,0.0206745568014393,0.00545665944992391,-0.0680329597431378,0.0109556411199849,0.0263517872959983,0.06629,0.18332,0.31002,60,76,0.55,0.2,0.1,16,81227118,6.00512
"5",5,17,15,32,0.00068,2e-04,0.00032,8,14,8,0,8,0.00032,0,8e-05,3791,11409,15200,0.15164,0.15212,0.152,4,2,1,0,21093,63242,8,0,8,0.00032,0,8e-05,3890,11743,3893,11745,15638,0.15572,0.1566,0.15638,0,0,0,0,0,0,1457,4296,5753,0.05828,0.05728,0.05753,1457,4296,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",4,TRUE,"equal",0.000707492461145875,-0.0237954434978912,0.0165289582478774,0.0206745568014393,0.00545665944992391,-0.0680329597431378,0.0109556411199849,0.0263517872959983,0.06629,0.18332,0.31002,60,76,0.55,0.2,0.1,16,81227118,6.00512
"6",6,17,17,34,0.00068,0.000226666666666667,0.00034,8,16,8,1,9,0.00032,1.33333333333333e-05,9e-05,3804,11396,15200,0.15216,0.151946666666667,0.152,5,2,2,0,20936,62842,8,1,9,0.00032,1.33333333333333e-05,9e-05,4047,12141,4050,12143,16193,0.162,0.161906666666667,0.16193,0,0,0,0,0,0,1644,4833,6477,0.06576,0.06444,0.06477,1644,4833,0,0,0,0,0,0,0,0,0,0,0,0,0.958333333333333,0.958309314008071,0.958333333333333,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",5,TRUE,"equal",0.000707492461145875,-0.0237954434978912,0.0165289582478774,0.0206745568014393,0.00545665944992391,-0.0680329597431378,0.0109556411199849,0.0263517872959983,0.06629,0.18332,0.31002,60,76,0.55,0.2,0.1,16,81227118,6.00512
"7",7,19,20,39,0.00076,0.000266666666666667,0.00039,12,19,8,5,13,0.00032,6.66666666666667e-05,0.00013,3792,11408,15200,0.15168,0.152106666666667,0.152,5,4,3,3,20699,62112,10,5,15,4e-04,6.66666666666667e-05,0.00015,4280,12868,4282,12869,17151,0.17128,0.171586666666667,0.17151,0,0,0,0,0,0,1845,5356,7201,0.0738,0.0714133333333333,0.07201,1845,5356,0,0,0,0,0,0,0,0,0,0,0,0,0.833333333333333,0.833631206775973,0.833695990052844,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",6,TRUE,"equal",0.000707492461145875,-0.0237954434978912,0.0165289582478774,0.0206745568014393,0.00545665944992391,-0.0680329597431378,0.0109556411199849,0.0263517872959983,0.06629,0.18332,0.31002,60,76,0.55,0.2,0.1,16,81227118,6.00512
"8",8,18,23,41,0.00072,0.000306666666666667,0.00041,12,22,10,5,15,4e-04,6.66666666666667e-05,0.00015,3813,11387,15200,0.15252,0.151826666666667,0.152,5,4,3,3,20335,61099,12,5,17,0.00048,6.66666666666667e-05,0.00017,4644,13878,4646,13879,18525,0.18584,0.185053333333333,0.18525,2,0,2,8e-05,0,2e-05,1996,5831,7827,0.07984,0.0777466666666667,0.07827,1998,5831,0,0,0,0,0,0,0,0,0,0,0,0,0.861111111111111,0.860520690731801,0.860570687418936,1,1,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",7,TRUE,"equal",0.000707492461145875,-0.0237954434978912,0.0165289582478774,0.0206745568014393,0.00545665944992391,-0.0680329597431378,0.0109556411199849,0.0263517872959983,0.06629,0.18332,0.31002,60,76,0.55,0.2,0.1,16,81227118,6.00512
"9",9,16,31,47,0.00064,0.000413333333333333,0.00047,12,30,8,7,15,0.00032,9.33333333333333e-05,0.00015,3814,11386,15200,0.15256,0.151813333333333,0.152,4,6,2,3,19916,59887,12,7,19,0.00048,9.33333333333333e-05,0.00019,5063,15082,5065,15087,20152,0.2026,0.20116,0.20152,5,1,6,2e-04,1.33333333333333e-05,6e-05,2179,6360,8539,0.08716,0.0848,0.08539,2184,6361,0,0,0,0,0,0,0,0,0,0,0,0,0.805555555555556,0.804163628731137,0.804176059762189,0.933333333333333,0.931477987421384,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",8,TRUE,"equal",0.000707492461145875,-0.0237954434978912,0.0165289582478774,0.0206745568014393,0.00545665944992391,-0.0680329597431378,0.0109556411199849,0.0263517872959983,0.06629,0.18332,0.31002,60,76,0.55,0.2,0.1,16,81227118,6.00512
"10",10,18,37,55,0.00072,0.000493333333333333,0.00055,15,36,8,7,15,0.00032,9.33333333333333e-05,0.00015,3818,11382,15200,0.15272,0.15176,0.152,4,7,2,3,19458,58500,13,7,20,0.00052,9.33333333333333e-05,2e-04,5518,16463,5520,16469,21989,0.2208,0.219586666666667,0.21989,5,3,8,2e-04,4e-05,8e-05,2369,6904,9273,0.09476,0.0920533333333333,0.09273,2374,6907,0,1,0,0.000144780657304184,0,0,0,0,0,1,0,0.000144780657304184,0.82051282051282,0.819521058211932,0.819520696760568,0.8,0.794119351100811,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",9,TRUE,"equal",0.000707492461145875,-0.0237954434978912,0.0165289582478774,0.0206745568014393,0.00545665944992391,-0.0680329597431378,0.0109556411199849,0.0263517872959983,0.06629,0.18332,0.31002,60,76,0.55,0.2,0.1,16,81227118,6.00512
